# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2009-08-13 17:39:10 EDT
#
# Data for the following site(s) are contained in this file
#    USGS 08171300 Blanco Rv nr Kyle, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08171300
#    DD parameter statistic   Description
#    01   00060     00001     Discharge, cubic feet per second (Maximum)
#    01   00060     00002     Discharge, cubic feet per second (Minimum)
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00001	01_00060_00001_cd	01_00060_00002	01_00060_00002_cd	01_00060_00003	01_00060_00003_cd
5s	15s	16d	14n	10s	14n	10s	14n	10s
USGS	08171300	1956-05-29					0.00	A
USGS	08171300	1956-05-30					0.00	A
USGS	08171300	1956-05-31					0.00	A
USGS	08171300	1956-06-01					0.00	A
USGS	08171300	1956-06-02					0.00	A
USGS	08171300	1956-06-03					0.00	A
USGS	08171300	1956-06-04					0.00	A
USGS	08171300	1956-06-05					0.00	A
USGS	08171300	1956-06-06					0.00	A
USGS	08171300	1956-06-07					0.00	A
USGS	08171300	1956-06-08					0.00	A
USGS	08171300	1956-06-09					0.00	A
USGS	08171300	1956-06-10					0.00	A
USGS	08171300	1956-06-11					0.00	A
USGS	08171300	1956-06-12					0.00	A
USGS	08171300	1956-06-13					0.00	A
USGS	08171300	1956-06-14					0.00	A
USGS	08171300	1956-06-15					0.00	A
USGS	08171300	1956-06-16					0.00	A
USGS	08171300	1956-06-17					0.00	A
USGS	08171300	1956-06-18					0.00	A
USGS	08171300	1956-06-19					0.00	A
USGS	08171300	1956-06-20					0.00	A
USGS	08171300	1956-06-21					0.00	A
USGS	08171300	1956-06-22					0.00	A
USGS	08171300	1956-06-23					0.00	A
USGS	08171300	1956-06-24					0.00	A
USGS	08171300	1956-06-25					0.00	A
USGS	08171300	1956-06-26					0.00	A
USGS	08171300	1956-06-27					0.00	A
USGS	08171300	1956-06-28					0.00	A
USGS	08171300	1956-06-29					0.00	A
USGS	08171300	1956-06-30					0.00	A
USGS	08171300	1956-07-01					0.00	A
USGS	08171300	1956-07-02					0.00	A
USGS	08171300	1956-07-03					0.00	A
USGS	08171300	1956-07-04					0.00	A
USGS	08171300	1956-07-05					0.00	A
USGS	08171300	1956-07-06					0.00	A
USGS	08171300	1956-07-07					0.00	A
USGS	08171300	1956-07-08					0.00	A
USGS	08171300	1956-07-09					0.00	A
USGS	08171300	1956-07-10					0.00	A
USGS	08171300	1956-07-11					0.00	A
USGS	08171300	1956-07-12					0.00	A
USGS	08171300	1956-07-13					0.00	A
USGS	08171300	1956-07-14					0.00	A
USGS	08171300	1956-07-15					0.00	A
USGS	08171300	1956-07-16					0.00	A
USGS	08171300	1956-07-17					0.00	A
USGS	08171300	1956-07-18					0.00	A
USGS	08171300	1956-07-19					0.00	A
USGS	08171300	1956-07-20					0.00	A
USGS	08171300	1956-07-21					0.00	A
USGS	08171300	1956-07-22					0.00	A
USGS	08171300	1956-07-23					0.00	A
USGS	08171300	1956-07-24					0.00	A
USGS	08171300	1956-07-25					0.00	A
USGS	08171300	1956-07-26					0.00	A
USGS	08171300	1956-07-27					0.00	A
USGS	08171300	1956-07-28					0.00	A
USGS	08171300	1956-07-29					0.00	A
USGS	08171300	1956-07-30					0.00	A
USGS	08171300	1956-07-31					0.00	A
USGS	08171300	1956-08-01					0.00	A
USGS	08171300	1956-08-02					0.00	A
USGS	08171300	1956-08-03					0.00	A
USGS	08171300	1956-08-04					0.00	A
USGS	08171300	1956-08-05					0.00	A
USGS	08171300	1956-08-06					0.00	A
USGS	08171300	1956-08-07					0.00	A
USGS	08171300	1956-08-08					0.00	A
USGS	08171300	1956-08-09					0.00	A
USGS	08171300	1956-08-10					0.00	A
USGS	08171300	1956-08-11					0.00	A
USGS	08171300	1956-08-12					0.00	A
USGS	08171300	1956-08-13					0.00	A
USGS	08171300	1956-08-14					0.00	A
USGS	08171300	1956-08-15					0.00	A
USGS	08171300	1956-08-16					0.00	A
USGS	08171300	1956-08-17					0.00	A
USGS	08171300	1956-08-18					0.00	A
USGS	08171300	1956-08-19					0.00	A
USGS	08171300	1956-08-20					0.00	A
USGS	08171300	1956-08-21					0.00	A
USGS	08171300	1956-08-22					0.00	A
USGS	08171300	1956-08-23					0.00	A
USGS	08171300	1956-08-24					0.00	A
USGS	08171300	1956-08-25					0.00	A
USGS	08171300	1956-08-26					0.00	A
USGS	08171300	1956-08-27					0.00	A
USGS	08171300	1956-08-28					0.00	A
USGS	08171300	1956-08-29					0.00	A
USGS	08171300	1956-08-30					0.00	A
USGS	08171300	1956-08-31					0.00	A
USGS	08171300	1956-09-01					0.00	A
USGS	08171300	1956-09-02					0.00	A
USGS	08171300	1956-09-03					0.00	A
USGS	08171300	1956-09-04					0.00	A
USGS	08171300	1956-09-05					0.00	A
USGS	08171300	1956-09-06					0.00	A
USGS	08171300	1956-09-07					0.00	A
USGS	08171300	1956-09-08					0.00	A
USGS	08171300	1956-09-09					0.00	A
USGS	08171300	1956-09-10					0.00	A
USGS	08171300	1956-09-11					0.00	A
USGS	08171300	1956-09-12					0.00	A
USGS	08171300	1956-09-13					0.00	A
USGS	08171300	1956-09-14					0.00	A
USGS	08171300	1956-09-15					0.00	A
USGS	08171300	1956-09-16					0.00	A
USGS	08171300	1956-09-17					0.00	A
USGS	08171300	1956-09-18					0.00	A
USGS	08171300	1956-09-19					0.00	A
USGS	08171300	1956-09-20					0.00	A
USGS	08171300	1956-09-21					0.00	A
USGS	08171300	1956-09-22					0.00	A
USGS	08171300	1956-09-23					0.00	A
USGS	08171300	1956-09-24					0.00	A
USGS	08171300	1956-09-25					0.00	A
USGS	08171300	1956-09-26					0.00	A
USGS	08171300	1956-09-27					0.00	A
USGS	08171300	1956-09-28					0.00	A
USGS	08171300	1956-09-29					0.00	A
USGS	08171300	1956-09-30					0.00	A
USGS	08171300	1956-10-01					0.00	A
USGS	08171300	1956-10-02					0.00	A
USGS	08171300	1956-10-03					0.00	A
USGS	08171300	1956-10-04					0.00	A
USGS	08171300	1956-10-05					0.00	A
USGS	08171300	1956-10-06					0.00	A
USGS	08171300	1956-10-07					0.00	A
USGS	08171300	1956-10-08					0.00	A
