# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2009-08-13 17:36:56 EDT
#
# Data for the following site(s) are contained in this file
#    USGS 08173000 Plum Ck nr Luling, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08173000
#    DD parameter statistic   Description
#    02   00060     00001     Discharge, cubic feet per second (Maximum)
#    02   00060     00002     Discharge, cubic feet per second (Minimum)
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00001	02_00060_00001_cd	02_00060_00002	02_00060_00002_cd	02_00060_00003	02_00060_00003_cd
5s	15s	16d	14n	10s	14n	10s	14n	10s
USGS	08173000	1950-01-01					6.2	A
USGS	08173000	1950-01-02					6.2	A
USGS	08173000	1950-01-03					6.2	A
USGS	08173000	1950-01-04					6.6	A
USGS	08173000	1950-01-05					8.0	A
USGS	08173000	1950-01-06					6.6	A
USGS	08173000	1950-01-07					5.9	A
USGS	08173000	1950-01-08					5.9	A
USGS	08173000	1950-01-09					5.9	A
USGS	08173000	1950-01-10					5.9	A
USGS	08173000	1950-01-11					6.2	A
USGS	08173000	1950-01-12					6.6	A
USGS	08173000	1950-01-13					6.9	A
USGS	08173000	1950-01-14					6.9	A
USGS	08173000	1950-01-15					6.9	A
USGS	08173000	1950-01-16					9.0	A
USGS	08173000	1950-01-17					7.3	A
USGS	08173000	1950-01-18					6.6	A
USGS	08173000	1950-01-19					6.2	A
USGS	08173000	1950-01-20					6.2	A
USGS	08173000	1950-01-21					6.2	A
USGS	08173000	1950-01-22					5.9	A
USGS	08173000	1950-01-23					6.2	A
USGS	08173000	1950-01-24					8.5	A
USGS	08173000	1950-01-25					9.0	A
USGS	08173000	1950-01-26					6.9	A
USGS	08173000	1950-01-27					5.6	A
USGS	08173000	1950-01-28					5.6	A
USGS	08173000	1950-01-29					5.3	A
USGS	08173000	1950-01-30					5.3	A
USGS	08173000	1950-01-31					5.3	A
USGS	08173000	1950-02-01					5.6	A
USGS	08173000	1950-02-02					5.6	A
USGS	08173000	1950-02-03					7.6	A
USGS	08173000	1950-02-04					6.6	A
USGS	08173000	1950-02-05					6.6	A
USGS	08173000	1950-02-06					12	A
USGS	08173000	1950-02-07					8.0	A
USGS	08173000	1950-02-08					6.9	A
USGS	08173000	1950-02-09					5.9	A
USGS	08173000	1950-02-10					5.9	A
USGS	08173000	1950-02-11					5.9	A
USGS	08173000	1950-02-12					171	A
USGS	08173000	1950-02-13					334	A
USGS	08173000	1950-02-14					65	A
USGS	08173000	1950-02-15					43	A
USGS	08173000	1950-02-16					23	A
USGS	08173000	1950-02-17					15	A
